id,eye
9,Droit
10,Droit
11,Gauche
12,Droit
13,Gauche
15,Droit
16,Droit
18,Droit
19,Gauche
21,Droit
23,Gauche
24,Droit
25,Droit
26,Droit
27,Droit
28,Gauche
30,Gauche
32,Gauche
34,Gauche
36,Gauche
37,Droit
39,Droit
41,Droit
40,Droit
48,Droit
51,Droit
54,Droit
55,Droit
59,Droit
